artist,genres
Ariana Grande,Contemporary R&B/Dance-Pop/Electropop
Joe Hisaishi,Film Score/Cinematic Classical/New Age
Alvvays,Indie Pop/Jangle Pop/Dream Pop
Michael Jackson,Dance-Pop/Contemporary R&B/Pop
Sufjan Stevens,Singer-Songwriter/Chamber Pop/Art Pop
Florence + the Machine,Art Pop/Indie Pop/Chamber Pop
Pavement,Indie Rock/Slacker Rock/Noise Rock
The Neighbourhood,Indie Pop/Alternative R&B/Synthpop
Peach Pit,Indie Rock/Bedroom Pop/Indie Pop
Clairo,Bedroom Pop/Hip Hop
NIKI,Alternative R&B/Synth Funk/Sophisti-Pop
Jimi Hendrix,Psychedelic Rock/Blues Rock/Acid Rock
Metric,Indie Rock/Indie Pop/Synthpop
King Gizzard & The Lizard Wizard,Psychedelic Rock/Acid Rock/Garage Rock
R.E.M.,Alternative Rock/Jangle Pop/Pop Rock
Sleater-Kinney,Indie Rock/Riot Grrrl/Indie Pop
The Who,Rock Opera/Mod/Hard Rock
Aphex Twin,IDM/Drill and Bass/Electronic
Kendrick Lamar,West Coast Hip Hop/Conscious Hip Hop/Hardcore Hip Hop
Mac Miller,Pop Rap/Jazz Rap/Trap
George Harrison,Pop Rock/Singer-Songwriter/Folk Pop
Black Sabbath,Heavy Metal/Hard Rock/Traditional Doom Metal
Faye Webster,Singer-Songwriter/Alt-Country/Chamber Pop
Charlie Parker,Bebop/Jazz/Cool Jazz
Carly Rae Jepsen,Dance-Pop/Synthpop/Alt-Pop
my bloody valentine,Shoegaze/Noise Pop/Dream Pop
Wilco,Alt-Country/Alternative Rock/Indie Rock
Daryl Hall & John Oates,Art Pop/Blue-Eyed Soul/Pop Rock
America,Soft Rock/Folk Pop/Folk Rock
John Lennon,Pop Rock/Singer-Songwriter/Rock & Roll
Japanese Breakfast,Indie Pop/Dream Pop/Synthpop
The Breeders,Alternative Rock/Indie Rock/Noise Pop
Eiichi Otaki,City Pop/New Music/Sunshine Pop
Seatbelts,
iwashiro taro,
Paramore,Pop Punk/Alternative Rock/Power Pop
BLACKPINK,K-Pop/Dance-Pop/Electropop
My Chemical Romance,Pop Punk/Alternative Rock/Emo-Pop
The Chairs,Indie Pop/Mandopop
The Doors,Psychedelic Rock/Blues Rock/Acid Rock
Yves Tumor,Sound Collage/Ambient/Hypnagogic Pop
Steely Dan,Pop Rock/Jazz-Rock/Yacht Rock
Simon & Garfunkel,
Creedence Clearwater Revival,Swamp Rock/Country Rock/Roots Rock
Artist Name(s),Hardvapour/Ambient/Dreampunk
Chicago,Pop Rock/Jazz-Rock/AOR
Glass Animals,Alt-Pop/Indietronica/Alternative R&B
ROSALï¿½A,Art Pop/Flamenco nuevo/Flamenco Pop
Belle and Sebastian,Indie Pop/Twee Pop/Chamber Pop
Blood Orange,Alternative R&B/Synthpop/Indie Pop
Liz Phair,Pop Rock/Indie Rock/Singer-Songwriter
Kenny Beats,
Conan Gray,Synthpop/Dance-Pop/Electropop
Bob Marley & The Wailers,Reggae/Roots Reggae/Jamaican Ska
The Police,New Wave/Pop Rock/Pop Reggae
Animal Collective,Neo-Psychedelia/Freak Folk/Psychedelic Pop
Phoenix,
Beastie Boys,East Coast Hip Hop/Rap Rock/Funk
The Beach Boys,Baroque Pop/Sunshine Pop/Pop Rock
Slowdive,Dream Pop/Shoegaze/Ambient Pop
Bladee,Cloud Rap/Trap/Emo Rap
Childish Gambino,West Coast Hip Hop/Contemporary R&B/Pop Rap
No Doubt,Pop Rock/Alternative Rock/Third Wave Ska
Snail Mail,Indie Rock/Indietronica/Bedroom Pop
Norah Jones,Jazz Pop/Vocal Jazz/Singer-Songwriter
The Green Pajamas,Paisley Underground/Neo-Psychedelia/Psychedelic Pop
Glee Cast,Television Music/Pop/Dance-Pop
Bon Iver,Art Pop/Indie Folk/Singer-Songwriter
Nick Drake,Singer-Songwriter/Chamber Folk/Contemporary Folk
Neko Case,Alt-Country/Singer-Songwriter/Country
Death Cab for Cutie,Indie Rock/Indie Pop/Art Rock
The Weeknd,Synthpop/Dance-Pop/Alternative R&B
Stereolab,Noise Pop/Art Pop/Indie Pop
The Clash,Punk Rock/New Wave/Interview
Paul Simon,Singer-Songwriter/Pop Rock/Folk Pop
Stars,Indie Pop/Synthpop/Indie Rock
Beck,Slacker Rock/Alternative Rock/Anti-Folk
Britney Spears,Dance-Pop/Electropop/Teen Pop
Strawberry Alarm Clock,Psychedelic Pop/Psychedelic Rock/Pop Rock
Orson Wells,
Deftones,Alternative Metal/Nu Metal/Alternative Rock
Jesse Jo Stark,Alternative Rock
Rihanna,Contemporary R&B/Dance-Pop/Pop
Wallows,Indie Rock/Indie Pop/Alternative Dance
Drake,Pop Rap/Trap/Contemporary R&B
One Direction,Boy Band/Dance-Pop/Pop Rock
Kanye West,Pop Rap/Chipmunk Soul/Christian Hip Hop
Courtney Barnett,Indie Rock/Singer-Songwriter/Slacker Rock
Bob Dylan,Singer-Songwriter/Contemporary Folk/Folk Rock
Smino,Pop Rap/Alternative R&B/Hip Hop
Blue ï¿½yster Cult,Hard Rock/Pop Rock/AOR
Angel Olsen,Singer-Songwriter/Indie Rock/Contemporary Folk
Weyes Blood,Baroque Pop/Psychedelic Pop/Singer-Songwriter
Crumb,
Tears for Fears,Pop Rock/New Wave/Synthpop
Toto,AOR/Pop Rock/Yacht Rock
Coldplay,Pop Rock/Post-Britpop/Piano Rock
Robert Gordon,Rockabilly/Rock & Roll
Marvin Gaye,Soul/Smooth Soul/Motown Sound
Yo La Tengo,Indie Rock/Noise Pop/Indie Pop
Men I Trust,Sophisti-Pop/Bedroom Pop/Dream Pop
PinkPantheress,2-Step/Liquid Drum and Bass/Alternative R&B
Green Day,Pop Punk/Alternative Rock/Pop Rock
Grateful Dead,Psychedelic Rock/Jam Band/Folk Rock
Tanukichan,Dream Pop/Shoegaze
Robert Lester Folsom,Singer-Songwriter/Psychedelic Pop
K Suave,Rage/Pop Rap/Trap
Miley Cyrus,Neo-Psychedelia/Dance-Pop/Pop
Surf Curse,Indie Rock/Indie Pop/Indie Surf
Yoko Ono,Experimental Rock/Experimental/Art Pop
Amy Winehouse,Pop Soul/Soul/Neo-Soul
Halsey,Electropop/Alt-Pop/Contemporary R&B
Pixies,Alternative Rock/Indie Rock/Noise Pop
Jon Brion,Film Score/Power Pop/Singer-Songwriter
The Cars,New Wave/Pop Rock/Power Pop
Tom Waits,Singer-Songwriter/Experimental Rock/Blues Rock
Panic! At the Disco,Pop Rock/Power Pop/Electropop
Fall Out Boy,Pop Rock/Pop Punk/Emo-Pop
Vashti Bunyan,None
Bleachers,Pop Rock/Indie Pop/New Wave
Wednesday,
Bad Bunny,Trap/Pop Rap/Reggaetï¿½n
Neutral Milk Hotel,Slacker Rock/Indie Folk/Indie Rock
Soccer Mommy,Indie Rock/Indie Pop/Singer-Songwriter
Sublime,Ska Punk/Alternative Rock/Trip Hop
Albert Collins,Electric Texas Blues/Blues/Electric Blues
Travesty LTD,
Maggie Rogers,
Joji,Alternative R&B/Alt-Pop/Lo-Fi Hip Hop
Daft Punk,French House/French Electro/Electro House
Duster,Slowcore/Slacker Rock/Space Rock Revival
Billy Crespo,
The Sundays,Dream Pop/Indie Pop/Jangle Pop
Kate Bush,Art Pop/Progressive Pop/Interview
Travesty Ltd,
Makaya McCraven,Nu Jazz/Avant-Garde Jazz/Instrumental Hip Hop
Asunojokei,Blackgaze/Post-Hardcore
Dire Straits,Pop Rock/Roots Rock/Art Rock
Bee Gees,Pop/Baroque Pop/Disco
Interpol,Post-Punk Revival/Indie Rock/Post-Punk
Etta James,Soul/Southern Soul/Rhythm & Blues
Ryuichi Sakamoto,Progressive Electronic/Modern Classical/Film Score
Spirit,Psychedelic Rock/Blues Rock/Film Score
The Kinks,Pop Rock/Mod/Garage Rock
Warren Zevon,Singer-Songwriter/Pop Rock/Piano Rock
Sonic Youth,Noise Rock/Experimental Rock/No Wave
Flying Lotus,Instrumental Hip Hop/Glitch Hop/Wonky
Melody's Echo Chamber,Neo-Psychedelia/Dream Pop/Psychedelic Pop
CAKE,Alternative Rock/Funk Rock/Pop Rock
Blondie,New Wave/Pop Rock/Synthpop
Miles Davis,Jazz Fusion/Hard Bop/Cool Jazz
Winter,Death Doom Metal
The Internet,
Tom Petty & The Heartbreakers,Heartland Rock/Pop Rock/Roots Rock
Sobs,
Van Morrison,None
JID,Southern Hip Hop/Conscious Hip Hop/Trap
The Velvet Underground,Art Rock/Proto-Punk/Experimental Rock
Bill Withers,Soul/Smooth Soul/Pop Soul
Nas,East Coast Hip Hop/Boom Bap/Conscious Hip Hop
Foo Fighters,Alternative Rock/Hard Rock/Post-Grunge
Siouxsie & The Banshees,Art Pop
Lamp,
Marc Anthony,
Thundercat,Neo-Soul/Alternative R&B/Psychedelic Soul
Spoon,Indie Rock/Indie Pop/Alternative Rock
Car Seat Headrest,Slacker Rock/Indie Rock/Noise Pop
Sade,Smooth Soul/Sophisti-Pop/Trip Hop
Yeah Yeah Yeahs,Indie Rock/Garage Rock Revival/New Rave
Jim Croce,Singer-Songwriter/Folk Pop/Folk Rock
Ten Years After,Blues Rock/Acid Rock/Hard Rock
Earl Sweatshirt,West Coast Hip Hop/Horrorcore/Hardcore Hip Hop
Jimmy Buffett,Singer-Songwriter/Tropical Rock/Country Rock
Lucy Dacus,Singer-Songwriter/Indie Rock/Indie Pop
Eric Clapton,Blues Rock/Soft Rock/Acoustic Rock
DOMi & JD BECK,
Bruce Springsteen,Heartland Rock/Singer-Songwriter/Pop Rock
Duran Duran,Synthpop/New Romantic/New Wave
FKA twigs,Art Pop/Alternative R&B/Glitch Pop
The Regrettes,Indie Rock/Garage Rock/Indie Pop
The White Stripes,Garage Rock Revival/Blues Rock/Alternative Rock
Oneohtrix Point Never,Progressive Electronic/Vaporwave/Ambient
Faye Wong,Mandopop/Cantopop/Dream Pop
Margo Guryan,Baroque Pop
The Mamas & The Papas,Pop Soul
Prince,Pop Rock/Synth Funk/Contemporary R&B
"Earth, Wind & Fire",Funk/Soul/Smooth Soul
Freddie Gibbs,Gangsta Rap/Trap/Jazz Rap
Title Fight,Post-Hardcore/Emo/Melodic Hardcore
Marina and The Diamonds,Dance-Pop/Electropop/Pop Rock
The Replacements,Alternative Rock/Power Pop/Punk Rock
James Brown,Funk/Soul/Rhythm & Blues
Tegan and Sara,Indie Pop/Indie Rock/Electropop
LE SSERAFIM,K-Pop/Reggaetï¿½n
Lou Reed,Noise/Art Rock/Rock
Josh Ritter,Singer-Songwriter/Contemporary Folk/Folk Rock
Wes Montgomery,Hard Bop/Jazz/Big Band
St. Vincent,Art Pop/Indie Pop/Art Rock
U2,Pop Rock/Post-Punk/Alternative Rock
Hole,Alternative Rock/Grunge/Power Pop
TV Girl,Bedroom Pop/Indie Pop/Hypnagogic Pop
Hozier,Chamber Pop/Pop Soul/Singer-Songwriter
Yann Tiersen,Film Score/Post-Rock/Dream Pop
Le Tigre,Dance-Punk/Riot Grrrl/Electroclash
Lil Nas X,Pop Rap/Pop/Trap
Caroline Polachek,Flamenco Pop/Synthpop/Folk Pop
Susumu Hirasawa,Art Pop/Progressive Pop/Electropop
Todd Snider,Alt-Country/Americana/Singer-Songwriter
Muse,Alternative Rock/Pop Rock/Electropop
Adele,Pop Soul/Adult Contemporary/Pop
Hayley Kiyoko,Electropop/Dance-Pop/Alt-Pop
Janelle Monï¿½e,Contemporary R&B/Art Pop/Film Soundtrack
Solange,Alternative R&B/Synthpop/Contemporary R&B
Rilo Kiley,Indie Pop/Power Pop/Indie Rock
Turnstile,Post-Hardcore/Alternative Metal/Alternative Rock
Missy Elliott,Pop Rap/Southern Hip Hop/Experimental Hip Hop
King Krule,Art Rock/Post-Punk/Singer-Songwriter
Townes Van Zandt,Singer-Songwriter/Country/Contemporary Folk
Lush,Shoegaze/Dream Pop/Britpop
New Order,Alternative Dance/Synthpop/Post-Punk
Kali Uchis,Contemporary R&B/Alternative R&B/Latin Pop
The Shins,Indie Pop/Psychedelic Pop/Indie Rock
Dua Lipa,Dance-Pop/Synthpop/Electropop
Warpaint,Dream Pop/Neo-Psychedelia/Alternative Dance
Steve Miller Band,Pop Rock/Blues Rock/Rock
Arlo Parks,Bedroom Pop/Indie Pop/Neo-Soul
Flipphoneshwty,Plugg/Trap/PluggnB
Jefferson Airplane,Psychedelic Rock/Folk Rock/Acid Rock
Wolf Alice,Indie Rock/Dream Pop/Indie Pop
Laufey,Bedroom Pop/Jazz Pop/Singer-Songwriter
wave to earth,
Floating Points,Progressive Electronic/Microhouse/Deep House
Panda Bear,Neo-Psychedelia/Psychedelic Pop/Electronic
Kid Cudi,Pop Rap/Alternative Rock/Hip Hop
Kim Eaton,
Joan Jett & the Blackhearts,Hard Rock/Punk Rock
Maroon 5,Pop Rock/Pop/Electropop
Joey Alexander,Post-Bop
NCT 127,K-Pop/Pop Rap/Contemporary R&B
Olivia Rodrigo,Alternative Rock/Power Pop/Pop
Bratmobile,Riot Grrrl
The Mountain Goats,Indie Folk/Singer-Songwriter/Indie Rock
Bobby Valentï¿½n,Boogaloo/Salsa/Salsa dura
Kris Kristofferson,Singer-Songwriter/Outlaw Country/Country
Broadcast,Indietronica/Dream Pop/Neo-Psychedelia
Spice Girls,Pop/Contemporary R&B/Teen Pop
Rage Against the Machine,Rap Metal/Alternative Metal/Rap Rock
Ethel Cain,Slowcore/Dream Pop/Bedroom Pop
The Stone Coyotes,Hard Rock/Southern Rock
Erykah Badu,Neo-Soul/Contemporary R&B/Soul
John Mayer,Pop Rock/Singer-Songwriter/Acoustic Rock
Built to Spill,Indie Rock/Slacker Rock/Alternative Rock
Ween,Alternative Rock/Experimental Rock/Slacker Rock
John Denver,Country Pop/Singer-Songwriter/Christmas Music
Boards of Canada,IDM/Downtempo/Neo-Psychedelia
Nala Sinephro,Avant-Garde Jazz/Nu Jazz
Quicksilver Messenger Service,Psychedelic Rock/Acid Rock/Jam Band
Billie Eilish,Alt-Pop/Alternative R&B/Electropop
Hippo Campus,Indie Pop/Indie Rock/Alt-Pop
Loretta Lynn,Country/Nashville Sound/Honky Tonk
Alanis Morissette,Pop Rock/Singer-Songwriter/Alternative Rock
Hojean,
SASAMI,Indie Rock/Dream Pop/Noise Pop
Oasis,Britpop/Neo-Psychedelia/Alternative Rock
The Avalanches,Nu-Disco/Plunderphonics/Neo-Psychedelia
HAIM,
The Apples In Stereo,Indie Pop/Neo-Psychedelia/Psychedelic Pop
Victor Manuelle,Salsa/Salsa romï¿½ntica
Michael Kamen,Film Score/Film Soundtrack/Cinematic Classical
The Flaming Lips,Neo-Psychedelia/Noise Pop/Psychedelic Pop
"Tyler, The Creator",Neo-Soul/West Coast Hip Hop/Hardcore Hip Hop
Mac DeMarco,Singer-Songwriter/Indie Pop/Jangle Pop
Bastille,
Primus,Funk Metal/Funk Rock/Experimental Rock
Destroy Boys,Punk Rock/Garage Punk
The Allman Brothers Band,Southern Rock/Blues Rock/Jam Band
UMI,Alternative R&B
Haley Heynderickx,Singer-Songwriter/Indie Folk/Indie Rock
Van Halen,None
Zedd,Electro House/Complextro/Festival Progressive House
Donovan,Singer-Songwriter/Contemporary Folk/Folk Pop
IU,K-Pop/Folk Pop/Contemporary R&B
Chet Baker,Cool Jazz/Jazz/Vocal Jazz
The Helio Sequence,Indie Rock/Neo-Psychedelia
Lizzo,Pop Rap/Trap/Contemporary R&B
Jackson Browne,Singer-Songwriter/Pop Rock/Heartland Rock
Todd Rundgren,Pop Rock/Art Pop/Power Pop
Sweet Trip,Ambient Techno/Dream Pop/Ambient Pop
Isaiah Rashad,Southern Hip Hop/Conscious Hip Hop/Jazz Rap
Red Hot Chili Peppers,Alternative Rock/Funk Rock/Pop Rock
Mountain,
Depeche Mode,Synthpop/Alternative Rock/New Romantic
"Bobby ""Boris"" Pickett & The Crypt-Kickers",Novelty/Spoken Word
Too Much Joy,Power Pop/Alternative Rock
Basement,
Tom Misch,Neo-Soul/Alternative R&B
Blur,Britpop/Alternative Rock/Interview
Tom Petty,Heartland Rock/Pop Rock/Roots Rock
Bladee & Ecco2k,Cloud Rap/Trap/Emo Rap
Vulfpeck,Novelty
ONE OK ROCK,J-Rock/Alternative Rock/Pop Rock
Xiu Xiu,Experimental Rock/Art Pop/Post-Industrial
Elvin Bishop,Southern Rock/Blues Rock/Blues
Dr. John,New Orleans R&B/Funk/Psychedelic Rock
blue smiley,Slacker Rock
Ramones,Punk Rock/Power Pop/Pop Punk
CHVRCHES,Synthpop/Electropop/Video Game Music
BROCKHAMPTON,West Coast Hip Hop/Pop Rap/Contemporary R&B
Djo,
Robert Palmer,Pop Rock/Synthpop/New Wave
Destiny's Child,Contemporary R&B/Pop Rap/Pop
Pretty Sick,Indie Rock
Modest Mouse,Indie Rock/Slacker Rock/Midwest Emo
Wet Leg,Indie Rock
Crush,
Willie Nelson,Country/Outlaw Country/Standards
Cults,
Death Grips,Experimental Hip Hop/Abstract Hip Hop/Industrial Hip Hop
NewJeans,K-Pop/Contemporary R&B/Dance-Pop
Pharoah Sanders,Spiritual Jazz/Avant-Garde Jazz/Jazz
John Williams,
Phil Collins,Pop Rock/Dance-Pop/Adult Contemporary
Art Blakey & The Jazz Messengers,Hard Bop/Jazz/Afro-Jazz
Sharon Van Etten,Singer-Songwriter/Dream Pop/Indie Folk
Joy Division,Post-Punk/Punk Rock/Coldwave
Journey,AOR/Hard Rock/Soft Rock
PLASTIC SVN,
Perfume Genius,Art Pop/Chamber Pop/Singer-Songwriter
Patti Smith,Rock/Singer-Songwriter/Proto-Punk
st vertebrae,
A. G. Cook,Bubblegum Bass/IDM/Art Pop
Orla Gartland,
Flume,Wonky/Future Bass/Alternative R&B
Iceage,Progressive Metal
Ryo Fukui,Hard Bop
Imagine Dragons,Pop Rock/Electropop/Alternative Rock
J Dilla,Hip Hop/Instrumental Hip Hop
Parquet Courts,Indie Rock/Post-Punk/Dance-Punk
Godiego,Pop Rock/Television Music/Bubblegum
Jim Weider,Jazz-Rock
Al Green,Southern Soul/Soul/Smooth Soul
Seals & Crofts,
Fishmans,Dream Pop/Downtempo/Neo-Psychedelia
LANY,Synthpop/Alternative R&B/Indietronica
Henry Mancini,Film Score/Film Soundtrack/Television Music
Aerosmith,Hard Rock/Pop Rock/Blues Rock
Kesha,Electropop/Dance-Pop/Pop Soul
Kero Kero Bonito,Synthpop/Electropop/Indietronica
OutKast,Southern Hip Hop/Pop Rap/Instrumental Hip Hop
All India Radio,Downtempo/Ambient/Post-Rock
The Psychedelic Furs,Post-Punk/New Wave/Pop Rock
Kitty Craft,Downtempo/Indietronica/Twee Pop
MJ Lenderman,Slacker Rock/Alt-Country/Slowcore
MF DOOM,East Coast Hip Hop/Abstract Hip Hop/Instrumental Hip Hop
Kaptain Kopter & The Fabulous Twirlybirds,Stoner Metal/Death 'n' Roll
Franz Ferdinand,Post-Punk Revival/Indie Rock/Dance-Punk
Marianne Faithfull,Baroque Pop/Pop/Singer-Songwriter
Kacey Musgraves,Country Pop/Contemporary Country/Singer-Songwriter
Snow Strippers,Electropop/Synthpop/Witch House
Asake,Afrobeats
Tedeschi Trucks Band,Blues Rock/Jam Band
The Beths,Indie Rock/Power Pop/Noise Pop
Various Artists,None
Lil Uzi Vert,Trap/Pop Rap/East Coast Hip Hop
Air,Downtempo/Ambient Pop/Electronic
Mother Mother,Indie Rock/Indie Pop/Pop Rock
Pale Saints,Dream Pop/Shoegaze
Supertramp,Pop Rock/Progressive Pop/Progressive Rock
Aimee Mann,Singer-Songwriter/Pop Rock/Folk Pop
Charly Bliss,Power Pop/Synthpop/Indie Rock
Autechre,IDM/Glitch/Techno
Cigarettes After Sex,Dream Pop/Slowcore/Indie Pop
Reel Big Fish,Ska Punk/Third Wave Ska
Regina Spektor,Singer-Songwriter/Chamber Pop/Indie Pop
Restraining Order,
Taeko Onuki,City Pop/New Music/Jazz Pop
Leslie West,Hard Rock/Blues Rock
Noah Kahan,Singer-Songwriter/Folk Pop
Cream,Blues Rock/Psychedelic Rock/Hard Rock
Alessia Cara,Contemporary R&B/Electropop/Pop Soul
Cryogeyser,Dream Pop
Two Door Cinema Club,Indie Pop/New Rave/Alternative Dance
Helena Deland,Indie Pop/Dream Pop
Alicia Keys,Contemporary R&B/Neo-Soul/Adult Contemporary
Low,Slowcore/Glitch Pop/Ambient Pop
Lucinda Williams,Alt-Country/Singer-Songwriter/Americana
dodie,
Sega Bodega,Alternative R&B/UK Bass/Deconstructed Club
Nina Simone,Vocal Jazz/Rhythm & Blues/Soul
Violent Femmes,Alternative Rock/Folk Punk/Comedy Rock
Spiritualized,Neo-Psychedelia/Space Rock Revival/Art Rock
Wham!,Christmas Music/Synthpop/Pop
La Dispute,Post-Hardcore/Emo/Ambient
Spacemen 3,Neo-Psychedelia/Space Rock Revival/Space Rock
Julia Jacklin,Singer-Songwriter/Indie Folk/Indie Rock
Sophie,
Neil Young,Singer-Songwriter/Folk Rock/Country Rock
Justin Bieber,Contemporary R&B/Teen Pop/Dance-Pop
Willow,Deep House
"Snarky Puppy,Metropole Orkest",
XXXTENTACION,Trap Metal/Southern Hip Hop/Trap
Smerz,UK Bass/Alternative R&B/Industrial Hip Hop
Smash Mouth,Pop Rock/Power Pop/Ska Punk
Katy Perry,Dance-Pop/Electropop/Pop Rock
Kelly Clarkson,Pop Rock/Pop/Dance-Pop
Kenny Loggins,Pop Rock/Soft Rock/Yacht Rock
"10,000 Maniacs",Folk Pop/Jangle Pop/Folk Rock
Pet Shop Boys,Synthpop/Dance-Pop/Electropop
A Tribe Called Quest,East Coast Hip Hop/Jazz Rap/Boom Bap
AC/DC,Hard Rock/Blues Rock/Interview
WILLOW,Deep House
Quarters of Change,
Janko Nilovic,Library Music/Jazz Fusion/Jazz-Funk
Lemon Demon,Comedy Rock/Indie Pop/Synthpop
Raveena,Neo-Soul/Contemporary R&B/Psychedelic Soul
Yes,Progressive Rock/Symphonic Prog/Pop Rock
Jeff Buckley,Alternative Rock/Singer-Songwriter/Acoustic Rock
Panda Bear & Sonic Boom,Neo-Psychedelia/Psychedelic Pop/Electronic
of Montreal,Indie Pop/Psychedelic Pop/Neo-Psychedelia
Nico,
Stevie Nicks,Pop Rock/Singer-Songwriter/Soft Rock
Laundry Day,
Jinsang,Lo-Fi Hip Hop/Instrumental Hip Hop
Joan Baez,Contemporary Folk/Folk Pop/Singer-Songwriter
Parliament,P-Funk/Synth Funk/Funk
Sex Pistols,Punk Rock/Interview/Film Soundtrack
John Fahey,American Primitivism/Christmas Music/Avant-Folk
All Time Low,Pop Rock/Pop Punk/Alternative Rock
Yuri Gagarin (SWE),
Kim Petras,Dance-Pop/Electropop/Synthpop
girl in red,Dream Pop/Bedroom Pop/Indie Pop
Dry Cleaning,Post-Punk/Indie Rock/Jangle Pop
boy pablo,Bedroom Pop/Jangle Pop/Indie Pop
OneRepublic,Pop Rock/Electropop/Chamber Pop
M83,Dream Pop/Synthpop/Ambient
Dead or Alive,Hi-NRG/Synthpop/Dance-Pop
The Lears,
Plumtree,Indie Pop/Indie Rock
SOPHIE,None
MARINA,
Anderson .Paak,Neo-Soul/West Coast Hip Hop/Funk
Deerhoof,Indie Rock/Experimental Rock/Noise Pop
Def Leppard,Hard Rock/AOR/NWOBHM
Andrew Gold,Singer-Songwriter/Pop Rock/Pop
Gracie Abrams,
Roberto Faz,
Ari Lennox,Neo-Soul/Contemporary R&B
The Commodores,None
The Zombies,Beat Music/Psychedelic Pop/Pop Rock
a-ha,Synthpop/Pop/New Wave
The Cynics,Garage Rock/Garage Rock Revival
Playboi Carti,Trap/Southern Hip Hop/Rage
Future Islands,Synthpop/Indietronica/Indie Pop
alt-J,Art Pop/Indie Pop/Indietronica
Funkadelic,Funk Rock/P-Funk/Funk
Anri,City Pop
The Front Bottoms,Indie Rock/Folk Punk/Power Pop
Rush,Progressive Rock/Hard Rock/Pop Rock
Madonna,Dance-Pop/Pop/Electropop
deca joins,
Eve,Pop Rap/East Coast Hip Hop
Ambrosia,Yacht Rock/Progressive Pop/Pop Rock
Roy Rogers,Delta Blues/Country Blues/Blues Rock
The Raincoats,Post-Punk/Art Punk/Experimental Rock
